,STARTYEAR,GENRES ,DIRECTORS 
715,1937.0,,nm0674398
782,1938.0,Comedy,nm0109264
801,1937.0,Musical,nm0245213
806,1937.0,"Adventure,Drama,Musical",nm0175265
822,1937.0,"Comedy,Musical",nm0909825
823,1937.0,"Drama,Romance",nm0782707
824,1937.0,"Comedy,Drama",nm0921288
825,1937.0,"Adventure,Mystery",nm0003422
826,1937.0,Thriller,nm0825596
827,1937.0,Comedy,nm0562845
828,1937.0,"Animation,Comedy,Family",nm0293989
829,1937.0,"Action,Romance,Western",nm0437356
830,1937.0,Western,nm0175265
831,1937.0,"Adventure,Mystery,Western",nm0287988
832,1937.0,"Animation,Comedy,Family",nm0293989
833,1937.0,Drama,nm0484645
834,1937.0,Family,nm0412274
835,1937.0,Drama,nm0005847
836,1937.0,"Adventure,Drama,Musical",nm0293260
837,1937.0,Documentary,\N
838,1938.0,"Comedy,Romance",nm0141351
839,1937.0,Western,nm0627864
840,1937.0,"Crime,Drama,Romance",nm0268513
841,1937.0,Western,nm0627864
842,1939.0,,nm0205760
843,1937.0,"Action,Adventure,Crime",nm0517005
844,1937.0,"Comedy,Musical",nm0166836
845,1939.0,Comedy,"nm0293260,nm0397678"
846,1937.0,Drama,nm0170973
847,1937.0,Western,"nm0416258,nm0853028,nm0936823"
848,1937.0,"Animation,Comedy,Family",nm0000813
849,1937.0,"Animation,Comedy,Family",nm0293989
850,1937.0,"Animation,Comedy,Family",nm0163332
851,1937.0,"Drama,War",nm0001843
852,1938.0,,nm0903160
853,1937.0,"Documentary,Short,War",nm0317856
854,1937.0,"Documentary,Short,War",nm0216941
855,1937.0,"Comedy,Romance","nm0062183,nm0906291"
856,1937.0,"Crime,Drama",nm0166730
857,1937.0,"Comedy,Musical,Romance",nm0543836
858,1937.0,Comedy,nm0782804
859,1937.0,"Comedy,Musical,Romance",nm0485647
860,1937.0,"Adventure,Romance",nm0803705
861,1937.0,"Adventure,Family",nm0000406
862,1937.0,Western,nm0792450
863,1937.0,Comedy,"nm0417837,nm0879802"
864,1937.0,"Documentary,Short,War",nm0283974
865,1938.0,"Comedy,Drama,Romance",nm0485647
866,1939.0,"Crime,Drama,Mystery",nm0825596
867,1938.0,Western,nm0627864
868,1938.0,"Documentary,Short,War",nm0687046
869,1938.0,"Animation,Comedy,Family",nm0454790
871,1938.0,"Comedy,Romance",nm0002031
872,1938.0,Comedy,nm0103975
873,1938.0,"Biography,Drama,Music","nm0245213,nm0903049,nm0281808"
874,1938.0,Comedy,nm0890085
875,1938.0,,nm0783509
876,1938.0,"Adventure,History",nm0515979
877,1938.0,Drama,nm0251456
878,1938.0,"Animation,Comedy,Family","nm0281487,nm0460667"
879,1938.0,Western,nm0627864
880,1938.0,Comedy,nm0080755
881,1938.0,"Animation,Comedy,Family",nm0850895
882,1938.0,Drama,nm0103975
883,1938.0,"Animation,Comedy,Family","nm0281487,nm0101466"
884,1938.0,"Action,Adventure,Animation","nm0198246,nm0362041"
885,1938.0,"Documentary,Short",\N
886,1938.0,Action,"nm0066247,nm0416258"
887,1938.0,Comedy,nm0909436
888,1938.0,Drama,nm0006943
889,1938.0,,\N
890,1938.0,"Drama,Romance",nm0281808
891,1938.0,Comedy,nm0002179
892,1938.0,Comedy,nm0861703
893,1938.0,,nm0132516
894,1939.0,Western,nm0627864
895,1938.0,"Comedy,Short",nm0153713
896,1938.0,"Comedy,Crime",nm0624756
897,1938.0,"Animation,Comedy,Family",\N
898,1939.0,Western,nm0007944
899,1939.0,Comedy,nm0627087
900,1939.0,Western,nm0397227
901,1939.0,War,nm0627438
902,1939.0,"Animation,Comedy,Family",nm0000813
903,1939.0,"Crime,Drama,Thriller",nm0282984
904,1939.0,"Animation,Comedy,Family",nm0454790
905,1939.0,Western,nm0384616
906,1939.0,,nm0652302
907,1939.0,Drama,nm0219068
908,1939.0,Drama,"nm0243295,nm0782597"
909,1939.0,"Comedy,Musical","nm0894022,nm0674398"
910,1939.0,"Crime,Drama,Romance",nm0780009
911,1938.0,"Drama,Horror,Sci-Fi",nm0304098
912,1939.0,Comedy,nm0477702
913,1939.0,"Animation,Comedy,Family","nm0281487,nm0460667"
914,1939.0,Western,"nm0257638,nm0936823"
915,1939.0,Mystery,nm0631438
916,1939.0,"Comedy,Crime,Mystery",nm0166058
917,1939.0,"Drama,Romance","nm0472406,nm0134898"
918,1939.0,Drama,nm0776838
