Accident_Index (NodeID),Longitude,Latitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Road_Type,Speed_limit,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident
67,-0.566505,52.548937,3,2,1,22-09-2014,2,07:55,6,60,1,1,1,2,2
68,0.193801,53.310588,3,2,1,31-10-2014,6,12:09,6,40,1,1,1,2,1
69,-1.12095,52.950866,3,2,1,18-09-2014,5,11:10,6,30,1,1,5,1,1
70,-1.317268,50.917426,3,1,1,22-09-2014,2,23:48,1,60,4,1,1,2,1
71,-2.343836,53.150513,3,3,2,12-05-2014,2,16:07,3,70,1,2,2,2,1
72,-4.181211,55.766999,3,1,1,17-09-2014,4,16:50,6,30,1,1,1,1,1
73,-0.169912,51.92148,3,2,2,12-12-2014,6,13:49,6,40,1,1,1,1,1
74,-2.556898,51.187535,3,1,1,30-08-2014,7,23:00,6,30,4,1,1,1,1
75,-2.362531,50.745426,3,1,1,04-02-2014,3,07:11,3,70,1,2,2,2,1
76,-2.533694,53.195227,3,1,1,09-09-2014,3,08:40,6,30,1,1,1,1,1
77,-1.87024,50.760036,3,2,1,17-03-2014,2,09:55,6,30,1,1,1,1,1
78,-4.190769,55.923868,3,1,1,24-12-2014,4,21:05,6,60,6,1,2,2,1
79,-4.310803,55.850113,3,2,1,23-02-2014,1,17:30,3,30,1,1,1,1,2
80,-1.203296,52.659186,3,2,1,31-05-2014,7,19:15,6,30,1,1,1,1,1
81,-0.950903,51.449914,3,1,1,04-04-2014,6,19:00,2,30,1,1,1,1,1
82,-2.012906,53.958141,3,2,1,25-06-2014,4,15:05,6,30,1,1,1,1,1
83,-2.134991,51.374844,3,1,1,20-07-2014,1,01:30,6,30,4,8,1,1,2
84,-2.402087,53.549041,3,2,1,18-04-2014,6,10:17,6,30,1,1,1,1,1
85,-4.211134,55.861805,3,3,1,07-10-2014,3,13:30,6,30,1,1,1,1,2
86,-1.906282,53.324702,3,1,1,07-08-2014,5,14:20,6,30,1,1,1,2,2
87,-0.346828,51.430874,3,1,1,06-08-2014,4,19:00,6,30,1,9,1,1,1
88,-2.722275,53.443706,3,1,1,05-06-2014,5,09:30,6,30,1,1,1,1,2
89,0.509728,51.406575,2,2,1,08-07-2014,3,11:45,1,50,1,1,1,2,1
90,-0.114717,51.463791,3,1,1,13-06-2014,6,13:15,6,30,1,1,1,1,2
91,-0.128468,51.511223,3,1,1,26-07-2014,7,15:00,6,30,1,1,1,1,1
92,-0.349942,51.23958,3,2,2,19-02-2014,4,13:20,6,60,1,1,2,2,1
93,-1.610333,53.179649,3,2,1,07-07-2014,2,14:04,6,50,1,1,1,2,1
94,0.465685,51.551587,3,1,1,20-05-2014,3,19:20,3,50,1,1,1,2,1
95,-2.981775,53.438925,3,2,2,30-11-2014,1,14:38,6,30,1,1,1,1,1
96,-2.172065,53.043688,3,2,1,18-07-2014,6,17:57,6,30,1,1,1,1,1
97,0.976052,52.459577,3,2,1,27-02-2014,5,18:25,6,60,6,8,2,2,1
98,-0.306308,51.433443,3,2,1,08-05-2014,5,09:59,6,30,1,2,2,1,1
99,-0.223984,51.575027,3,1,1,14-07-2014,2,18:28,6,30,1,1,1,1,1
100,-0.213569,51.100793,2,1,1,21-04-2014,2,18:11,1,40,1,1,1,1,1
