,STARTYEAR,GENRES ,DIRECTORS 
715,1937.0,,nm0674398
721,1935.0,,"nm3858972,nm0116307"
748,1936.0,Drama,nm0102424
749,1935.0,"Action,Adventure,Western",nm0166730
750,1935.0,Comedy,nm0064415
751,1935.0,"Comedy,Short",nm0294137
752,1935.0,Short,nm0391750
753,1935.0,Documentary,\N
754,1935.0,"Crime,Drama",nm0454734
755,1935.0,Drama,nm0337586
756,1935.0,"Documentary,Short",nm0005733
757,1936.0,,nm0578933
758,1935.0,"Musical,Romance,Short","nm0076653,nm0372959"
759,1935.0,Western,nm0107854
760,1935.0,"Crime,Drama",nm0869665
761,1935.0,Drama,nm0595271
762,1935.0,"Comedy,Romance",nm0363235
763,1935.0,,nm0726729
764,1935.0,"Documentary,Short",nm0202852
765,1935.0,"Drama,Mystery","nm0584778,nm0930293"
766,1935.0,"Action,Adventure,Crime",nm0564971
767,1935.0,Documentary,\N
768,1935.0,Drama,nm0480676
769,1935.0,Drama,nm0737053
770,1935.0,Documentary,nm0182036
772,1936.0,Drama,nm0627438
773,1935.0,"Adventure,Fantasy,Romance","nm0390226,nm0681635"
774,1936.0,Drama,nm0062759
775,1935.0,,nm0115669
776,1935.0,"Adventure,Drama,Western",nm0342417
777,1935.0,"Animation,Musical,Short",nm0281487
778,1935.0,"Action,Adventure,Drama",nm0127511
779,1935.0,"Drama,Sci-Fi",nm0385171
780,1935.0,"Comedy,Musical",nm0878338
781,1935.0,"Action,Adventure,Western",nm0292134
783,1936.0,Short,nm0649097
784,1936.0,"Drama,History,Romance",nm0500837
785,1936.0,"Horror,Mystery,Sci-Fi",nm0951492
786,1936.0,Drama,nm0005847
787,1935.0,"Comedy,Drama,Romance",nm0311174
788,1936.0,Western,nm0809467
789,1936.0,Western,nm0107854
790,1936.0,Drama,nm0345997
791,1936.0,"Comedy,Crime,Mystery",nm0401680
792,1936.0,"Comedy,Crime,Drama",nm0719756
793,1936.0,"Action,Comedy,Drama",nm0003373
794,1936.0,Drama,nm0614225
795,1936.0,"Comedy,Romance",nm0172485
796,1936.0,Western,nm0782947
797,1936.0,,nm0287506
798,1935.0,Comedy,nm0909398
799,1936.0,Comedy,nm0368871
800,1936.0,"Animation,Comedy,Family","nm0101466,nm0281487"
801,1937.0,Musical,nm0245213
802,1936.0,,nm0382291
803,1936.0,Mystery,nm0783461
804,1936.0,,nm0097074
805,1936.0,Documentary,nm0253065
806,1937.0,"Adventure,Drama,Musical",nm0175265
807,1936.0,"Drama,History,Romance","nm0344583,nm0116331"
808,1936.0,"Crime,Drama,Mystery",nm0669260
809,1936.0,"Comedy,Drama,Romance",nm0001008
810,1936.0,,nm0061850
811,1936.0,"Animation,Comedy,Family",nm0281487
812,1935.0,"Crime,Drama",nm0640248
813,1936.0,"Animation,Comedy,Drama",nm0281487
814,1936.0,"Biography,Drama,History",nm0000406
815,1936.0,Drama,nm0596410
816,1936.0,"Action,Adventure,Romance",nm0916125
817,1936.0,Drama,nm0869645
818,1936.0,"Adventure,Family,Musical",nm0782682
819,1936.0,"Action,Comedy,Crime",nm0500552
820,1936.0,Comedy,nm0737053
821,1936.0,"Action,Adventure,Comedy",nm0453245
822,1937.0,"Comedy,Musical",nm0909825
823,1937.0,"Drama,Romance",nm0782707
824,1937.0,"Comedy,Drama",nm0921288
825,1937.0,"Adventure,Mystery",nm0003422
826,1937.0,Thriller,nm0825596
827,1937.0,Comedy,nm0562845
828,1937.0,"Animation,Comedy,Family",nm0293989
829,1937.0,"Action,Romance,Western",nm0437356
830,1937.0,Western,nm0175265
831,1937.0,"Adventure,Mystery,Western",nm0287988
832,1937.0,"Animation,Comedy,Family",nm0293989
833,1937.0,Drama,nm0484645
834,1937.0,Family,nm0412274
835,1937.0,Drama,nm0005847
836,1937.0,"Adventure,Drama,Musical",nm0293260
837,1937.0,Documentary,\N
839,1937.0,Western,nm0627864
840,1937.0,"Crime,Drama,Romance",nm0268513
841,1937.0,Western,nm0627864
843,1937.0,"Action,Adventure,Crime",nm0517005
844,1937.0,"Comedy,Musical",nm0166836
846,1937.0,Drama,nm0170973
847,1937.0,Western,"nm0416258,nm0853028,nm0936823"
848,1937.0,"Animation,Comedy,Family",nm0000813
849,1937.0,"Animation,Comedy,Family",nm0293989
850,1937.0,"Animation,Comedy,Family",nm0163332
