" TCONST                                    ","DIRECTORS ","PRIMARYTITLE  ","ORIGINALTITLE","STARTYEAR","GENRES"
"tt0031835","nm0113284","The Rains Came","The Rains Came","1939","Adventure,Drama,Romance"
"tt0031861","nm0916125","Riders of the Sage","Riders of the Sage","1939","Western"
"tt0031916","nm0902025","Sensationsprozess Casilla","Sensationsprozess Casilla","1939","Crime,Drama"
"tt0032001","nm0844161","Hello, Peter!","Szervusz Péter!","1939",NULL
"tt0032003","nm0744023","The Bullying Turkey","Il tacchino prepotente","1939","Comedy,Short"
"tt0032008","nm0520419","Teacher's Pest","Teacher's Pest","1939","Comedy,Short,Western"
"tt0032041","nm0112897","Too Busy to Work","Too Busy to Work","1939","Comedy"
"tt0032111","nm0783509","Wasser für Canitoga","Wasser für Canitoga","1939","Adventure,Drama,Western"
"tt0032165","nm0902006","Zwischen Strom und Steppe","Zwischen Strom und Steppe","1939",NULL
"tt0032203","nm0062759","Among Human Wolves","Secret Journey","1939","Drama,War"
"tt0032255","nm0509327","Bismarck","Bismarck","1940","Biography,Drama"
"tt0032295","nm0628149","Buyer Beware","Buyer Beware","1940","Crime,Drama,Short"
"tt0032373","nm0940453","Curtain Call","Curtain Call","1940","Comedy,Romance"
"tt0032446","nm0688031","Erzsébet királyné","Erzsébet királyné","1940",NULL
"tt0032457","nm0631438","The Fatal Hour","The Fatal Hour","1940","Crime,Mystery,Thriller"
"tt0032507","nm0000813","A Gander at Mother Goose","A Gander at Mother Goose","1940","Animation,Comedy,Family"
"tt0032531","nm0216941","La gitanilla","La gitanilla","1940","Drama"
"tt0032544","nm0455741","Goofy's Glider","Goofy's Glider","1940","Animation,Comedy,Family"
"tt0032571","nm0861703,nm0940499","Haunted Honeymoon","Busman's Honeymoon","1940","Comedy,Drama,Mystery"
"tt0032591","nm0107854","Hidden Enemy","Hidden Enemy","1940","Drama,Mystery"
"tt0032621","nm0523893","I'm Nobody's Sweetheart Now","I'm Nobody's Sweetheart Now","1940","Adventure,Comedy,Music"
"tt0032633","nm0555303","Inspiración","Inspiración","1940","Short"
"tt0032713","nm0172151","Seven Little Australians","Seven Little Australians","1939","Drama,Family"
"tt0032725","nm0758508","The Lone Wolf Meets a Lady","The Lone Wolf Meets a Lady","1940","Comedy,Drama,Mystery"
"tt0032790","nm0107854","Midnight Limited","Midnight Limited","1940","Action,Adventure,Crime"
"tt0032859","nm0915007","Oklahoma Renegades","Oklahoma Renegades","1940","Drama,Western"
"tt0032895","nm0163332","Patient Porky","Patient Porky","1940","Animation,Comedy,Family"
"tt0032918","nm0314671","Pluto's Dream House","Pluto's Dream House","1940","Animation,Family,Short"
"tt0033028","nm0002031","The Sea Hawk","The Sea Hawk","1940","Action,Adventure,History"
"tt0033046","nm0293989","Shop Look & Listen","Shop Look & Listen","1940","Animation,Comedy,Family"
"tt0033058","nm0823864","Sky Bandits","Sky Bandits","1940","Action,Comedy,Music"
